,Age_group,Facility,Gender,APR,Predict,County
1121,0 to 17,HealthAlliance Hospital Broadway Campus,F,Cesarean delivery,7313.247146,Ulster
1122,0 to 17,HealthAlliance Hospital Broadway Campus,F,Chronic obstructive pulmonary disease,7975.91246,Ulster
1123,0 to 17,HealthAlliance Hospital Broadway Campus,F,Heart failure,8071.519626,Ulster
1124,0 to 17,HealthAlliance Hospital Broadway Campus,F,Knee joint replacement,19976.72914,Ulster
1125,0 to 17,HealthAlliance Hospital Broadway Campus,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",3768.9974,Ulster
1126,0 to 17,HealthAlliance Hospital Broadway Campus,F,Other pneumonia,7860.083598,Ulster
1127,0 to 17,HealthAlliance Hospital Broadway Campus,F,Schizophrenia,3292.647025,Ulster
1128,0 to 17,HealthAlliance Hospital Broadway Campus,F,Septicemia & disseminated infections,8416.704663,Ulster
1129,0 to 17,HealthAlliance Hospital Broadway Campus,F,Vaginal delivery,6812.7649,Ulster
1130,0 to 17,HealthAlliance Hospital Broadway Campus,M,Cellulitis & other skin infections,7298.883673,Ulster
1131,0 to 17,HealthAlliance Hospital Broadway Campus,M,Cesarean delivery,7543.556689,Ulster
1132,0 to 17,HealthAlliance Hospital Broadway Campus,M,Chronic obstructive pulmonary disease,8206.222003,Ulster
1133,0 to 17,HealthAlliance Hospital Broadway Campus,M,Heart failure,8301.829169,Ulster
1134,0 to 17,HealthAlliance Hospital Broadway Campus,M,Knee joint replacement,20207.03869,Ulster
1135,0 to 17,HealthAlliance Hospital Broadway Campus,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",3999.306943,Ulster
1136,0 to 17,HealthAlliance Hospital Broadway Campus,M,Other pneumonia,8090.393141,Ulster
1137,0 to 17,HealthAlliance Hospital Broadway Campus,M,Schizophrenia,3522.956568,Ulster
1138,0 to 17,HealthAlliance Hospital Broadway Campus,M,Septicemia & disseminated infections,8647.014206,Ulster
1139,0 to 17,HealthAlliance Hospital Broadway Campus,M,Vaginal delivery,7043.074443,Ulster
1140,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Cellulitis & other skin infections,7207.545194,Ulster
1141,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Cesarean delivery,7452.21821,Ulster
1142,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Chronic obstructive pulmonary disease,8114.883524,Ulster
1143,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Heart failure,8210.49069,Ulster
1144,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Knee joint replacement,20115.70021,Ulster
1145,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",3907.968464,Ulster
1146,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Other pneumonia,7999.054662,Ulster
1147,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Schizophrenia,3431.618089,Ulster
1148,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Septicemia & disseminated infections,8555.675727,Ulster
1149,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,F,Vaginal delivery,6951.735964,Ulster
1150,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Cellulitis & other skin infections,7437.854737,Ulster
1151,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Cesarean delivery,7682.527753,Ulster
1152,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Chronic obstructive pulmonary disease,8345.193067,Ulster
1153,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Heart failure,8440.800233,Ulster
1154,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Knee joint replacement,20346.00975,Ulster
1155,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",4138.278007,Ulster
1156,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Other pneumonia,8229.364205,Ulster
1157,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Schizophrenia,3661.927632,Ulster
1158,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Septicemia & disseminated infections,8785.98527,Ulster
1159,0 to 17,HealthAlliance Hospital Mary's Avenue Campus,M,Vaginal delivery,7182.045507,Ulster
1160,0 to 17,Helen Hayes Hospital,F,Cellulitis & other skin infections,1737.933182,Rockland
1161,0 to 17,Helen Hayes Hospital,F,Cesarean delivery,1982.606198,Rockland
1162,0 to 17,Helen Hayes Hospital,F,Chronic obstructive pulmonary disease,2645.271512,Rockland
1163,0 to 17,Helen Hayes Hospital,F,Heart failure,2740.878678,Rockland
1164,0 to 17,Helen Hayes Hospital,F,Knee joint replacement,14646.0882,Rockland
1165,0 to 17,Helen Hayes Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-1561.643548,Rockland
1166,0 to 17,Helen Hayes Hospital,F,Other pneumonia,2529.44265,Rockland
1167,0 to 17,Helen Hayes Hospital,F,Schizophrenia,-2037.993923,Rockland
1168,0 to 17,Helen Hayes Hospital,F,Septicemia & disseminated infections,3086.063716,Rockland
1169,0 to 17,Helen Hayes Hospital,F,Vaginal delivery,1482.123952,Rockland
1170,0 to 17,Helen Hayes Hospital,M,Cellulitis & other skin infections,1968.242725,Rockland
1171,0 to 17,Helen Hayes Hospital,M,Cesarean delivery,2212.915741,Rockland
1172,0 to 17,Helen Hayes Hospital,M,Chronic obstructive pulmonary disease,2875.581055,Rockland
1173,0 to 17,Helen Hayes Hospital,M,Heart failure,2971.188221,Rockland
1174,0 to 17,Helen Hayes Hospital,M,Knee joint replacement,14876.39774,Rockland
1175,0 to 17,Helen Hayes Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-1331.334005,Rockland
1176,0 to 17,Helen Hayes Hospital,M,Other pneumonia,2759.752193,Rockland
1177,0 to 17,Helen Hayes Hospital,M,Schizophrenia,-1807.68438,Rockland
1178,0 to 17,Helen Hayes Hospital,M,Septicemia & disseminated infections,3316.373259,Rockland
1179,0 to 17,Helen Hayes Hospital,M,Vaginal delivery,1712.433495,Rockland
1180,0 to 17,Henry J. Carter Specialty Hospital,F,Cellulitis & other skin infections,439.9800361,New York
1181,0 to 17,Henry J. Carter Specialty Hospital,F,Cesarean delivery,684.653052,New York
1182,0 to 17,Henry J. Carter Specialty Hospital,F,Chronic obstructive pulmonary disease,1347.318366,New York
1183,0 to 17,Henry J. Carter Specialty Hospital,F,Heart failure,1442.925532,New York
1184,0 to 17,Henry J. Carter Specialty Hospital,F,Knee joint replacement,13348.13505,New York
1185,0 to 17,Henry J. Carter Specialty Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-2859.596694,New York
1186,0 to 17,Henry J. Carter Specialty Hospital,F,Other pneumonia,1231.489504,New York
1187,0 to 17,Henry J. Carter Specialty Hospital,F,Schizophrenia,-3335.947068,New York
1188,0 to 17,Henry J. Carter Specialty Hospital,F,Septicemia & disseminated infections,1788.11057,New York
1189,0 to 17,Henry J. Carter Specialty Hospital,F,Vaginal delivery,184.1708061,New York
1190,0 to 17,Henry J. Carter Specialty Hospital,M,Cellulitis & other skin infections,670.2895791,New York
1191,0 to 17,Henry J. Carter Specialty Hospital,M,Cesarean delivery,914.9625951,New York
1192,0 to 17,Henry J. Carter Specialty Hospital,M,Chronic obstructive pulmonary disease,1577.627909,New York
1193,0 to 17,Henry J. Carter Specialty Hospital,M,Heart failure,1673.235075,New York
1194,0 to 17,Henry J. Carter Specialty Hospital,M,Knee joint replacement,13578.44459,New York
1195,0 to 17,Henry J. Carter Specialty Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-2629.287151,New York
1196,0 to 17,Henry J. Carter Specialty Hospital,M,Other pneumonia,1461.799047,New York
1197,0 to 17,Henry J. Carter Specialty Hospital,M,Schizophrenia,-3105.637525,New York
1198,0 to 17,Henry J. Carter Specialty Hospital,M,Septicemia & disseminated infections,2018.420113,New York
1199,0 to 17,Henry J. Carter Specialty Hospital,M,Vaginal delivery,414.4803492,New York
1200,0 to 17,Highland Hospital,F,Cellulitis & other skin infections,2535.345151,Monroe
1201,0 to 17,Highland Hospital,F,Cesarean delivery,2780.018167,Monroe
1202,0 to 17,Highland Hospital,F,Chronic obstructive pulmonary disease,3442.683481,Monroe
1203,0 to 17,Highland Hospital,F,Heart failure,3538.290647,Monroe
1204,0 to 17,Highland Hospital,F,Knee joint replacement,15443.50017,Monroe
1205,0 to 17,Highland Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-764.2315787,Monroe
1206,0 to 17,Highland Hospital,F,Other pneumonia,3326.854619,Monroe
1207,0 to 17,Highland Hospital,F,Schizophrenia,-1240.581953,Monroe
1208,0 to 17,Highland Hospital,F,Septicemia & disseminated infections,3883.475685,Monroe
1209,0 to 17,Highland Hospital,F,Vaginal delivery,2279.535921,Monroe
1210,0 to 17,Highland Hospital,M,Cellulitis & other skin infections,2765.654694,Monroe
1211,0 to 17,Highland Hospital,M,Cesarean delivery,3010.32771,Monroe
1212,0 to 17,Highland Hospital,M,Chronic obstructive pulmonary disease,3672.993024,Monroe
1213,0 to 17,Highland Hospital,M,Heart failure,3768.60019,Monroe
1214,0 to 17,Highland Hospital,M,Knee joint replacement,15673.80971,Monroe
1215,0 to 17,Highland Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-533.9220357,Monroe
1216,0 to 17,Highland Hospital,M,Other pneumonia,3557.164162,Monroe
1217,0 to 17,Highland Hospital,M,Schizophrenia,-1010.27241,Monroe
1218,0 to 17,Highland Hospital,M,Septicemia & disseminated infections,4113.785228,Monroe
1219,0 to 17,Highland Hospital,M,Vaginal delivery,2509.845464,Monroe
1220,0 to 17,Hospital for Special Surgery,F,Cellulitis & other skin infections,11233.9959,New York
1221,0 to 17,Hospital for Special Surgery,F,Cesarean delivery,11478.66891,New York
1222,0 to 17,Hospital for Special Surgery,F,Chronic obstructive pulmonary disease,12141.33423,New York
1223,0 to 17,Hospital for Special Surgery,F,Heart failure,12236.94139,New York
1224,0 to 17,Hospital for Special Surgery,F,Knee joint replacement,24142.15091,New York
1225,0 to 17,Hospital for Special Surgery,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",7934.419168,New York
1226,0 to 17,Hospital for Special Surgery,F,Other pneumonia,12025.50537,New York
1227,0 to 17,Hospital for Special Surgery,F,Schizophrenia,7458.068793,New York
1228,0 to 17,Hospital for Special Surgery,F,Septicemia & disseminated infections,12582.12643,New York
1229,0 to 17,Hospital for Special Surgery,F,Vaginal delivery,10978.18667,New York
1230,0 to 17,Hospital for Special Surgery,M,Cellulitis & other skin infections,11464.30544,New York
1231,0 to 17,Hospital for Special Surgery,M,Cesarean delivery,11708.97846,New York
1232,0 to 17,Hospital for Special Surgery,M,Chronic obstructive pulmonary disease,12371.64377,New York
1233,0 to 17,Hospital for Special Surgery,M,Heart failure,12467.25094,New York
1234,0 to 17,Hospital for Special Surgery,M,Knee joint replacement,24372.46046,New York
1235,0 to 17,Hospital for Special Surgery,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",8164.728711,New York
1236,0 to 17,Hospital for Special Surgery,M,Other pneumonia,12255.81491,New York
1237,0 to 17,Hospital for Special Surgery,M,Schizophrenia,7688.378336,New York
1238,0 to 17,Hospital for Special Surgery,M,Septicemia & disseminated infections,12812.43597,New York
1239,0 to 17,Hospital for Special Surgery,M,Vaginal delivery,11208.49621,New York
1240,0 to 17,Huntington Hospital,F,Cellulitis & other skin infections,7046.100389,Suffolk
1241,0 to 17,Huntington Hospital,F,Cesarean delivery,7290.773405,Suffolk
1242,0 to 17,Huntington Hospital,F,Chronic obstructive pulmonary disease,7953.438719,Suffolk
1243,0 to 17,Huntington Hospital,F,Heart failure,8049.045885,Suffolk
1244,0 to 17,Huntington Hospital,F,Knee joint replacement,19954.2554,Suffolk
1245,0 to 17,Huntington Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",3746.523659,Suffolk
1246,0 to 17,Huntington Hospital,F,Other pneumonia,7837.609857,Suffolk
1247,0 to 17,Huntington Hospital,F,Schizophrenia,3270.173285,Suffolk
1248,0 to 17,Huntington Hospital,F,Septicemia & disseminated infections,8394.230923,Suffolk
1249,0 to 17,Huntington Hospital,F,Vaginal delivery,6790.291159,Suffolk
1250,0 to 17,Huntington Hospital,M,Cellulitis & other skin infections,7276.409932,Suffolk
1251,0 to 17,Huntington Hospital,M,Cesarean delivery,7521.082948,Suffolk
1252,0 to 17,Huntington Hospital,M,Chronic obstructive pulmonary disease,8183.748262,Suffolk
1253,0 to 17,Huntington Hospital,M,Heart failure,8279.355428,Suffolk
1254,0 to 17,Huntington Hospital,M,Knee joint replacement,20184.56495,Suffolk
1255,0 to 17,Huntington Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",3976.833202,Suffolk
1256,0 to 17,Huntington Hospital,M,Other pneumonia,8067.9194,Suffolk
1257,0 to 17,Huntington Hospital,M,Schizophrenia,3500.482828,Suffolk
1258,0 to 17,Huntington Hospital,M,Septicemia & disseminated infections,8624.540466,Suffolk
1259,0 to 17,Huntington Hospital,M,Vaginal delivery,7020.600702,Suffolk
1260,0 to 17,Interfaith Medical Center,F,Cellulitis & other skin infections,6032.075034,Kings
1261,0 to 17,Interfaith Medical Center,F,Cesarean delivery,6276.74805,Kings
1262,0 to 17,Interfaith Medical Center,F,Chronic obstructive pulmonary disease,6939.413364,Kings
1263,0 to 17,Interfaith Medical Center,F,Heart failure,7035.02053,Kings
1264,0 to 17,Interfaith Medical Center,F,Knee joint replacement,18940.23005,Kings
1265,0 to 17,Interfaith Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2732.498304,Kings
1266,0 to 17,Interfaith Medical Center,F,Other pneumonia,6823.584502,Kings
1267,0 to 17,Interfaith Medical Center,F,Schizophrenia,2256.147929,Kings
1268,0 to 17,Interfaith Medical Center,F,Septicemia & disseminated infections,7380.205567,Kings
1269,0 to 17,Interfaith Medical Center,F,Vaginal delivery,5776.265804,Kings
1270,0 to 17,Interfaith Medical Center,M,Cellulitis & other skin infections,6262.384577,Kings
1271,0 to 17,Interfaith Medical Center,M,Cesarean delivery,6507.057593,Kings
1272,0 to 17,Interfaith Medical Center,M,Chronic obstructive pulmonary disease,7169.722907,Kings
1273,0 to 17,Interfaith Medical Center,M,Heart failure,7265.330073,Kings
1274,0 to 17,Interfaith Medical Center,M,Knee joint replacement,19170.53959,Kings
1275,0 to 17,Interfaith Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2962.807847,Kings
1276,0 to 17,Interfaith Medical Center,M,Other pneumonia,7053.894045,Kings
1277,0 to 17,Interfaith Medical Center,M,Schizophrenia,2486.457472,Kings
1278,0 to 17,Interfaith Medical Center,M,Septicemia & disseminated infections,7610.51511,Kings
1279,0 to 17,Interfaith Medical Center,M,Vaginal delivery,6006.575347,Kings
1280,0 to 17,Ira Davenport Memorial Hospital Inc,F,Cellulitis & other skin infections,3267.279353,Steuben
1281,0 to 17,Ira Davenport Memorial Hospital Inc,F,Cesarean delivery,3511.952369,Steuben
1282,0 to 17,Ira Davenport Memorial Hospital Inc,F,Chronic obstructive pulmonary disease,4174.617683,Steuben
1283,0 to 17,Ira Davenport Memorial Hospital Inc,F,Heart failure,4270.224849,Steuben
1284,0 to 17,Ira Davenport Memorial Hospital Inc,F,Knee joint replacement,16175.43437,Steuben
1285,0 to 17,Ira Davenport Memorial Hospital Inc,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-32.29737679,Steuben
1286,0 to 17,Ira Davenport Memorial Hospital Inc,F,Other pneumonia,4058.788821,Steuben
1287,0 to 17,Ira Davenport Memorial Hospital Inc,F,Schizophrenia,-508.6477513,Steuben
1288,0 to 17,Ira Davenport Memorial Hospital Inc,F,Septicemia & disseminated infections,4615.409887,Steuben
1289,0 to 17,Ira Davenport Memorial Hospital Inc,F,Vaginal delivery,3011.470123,Steuben
1290,0 to 17,Ira Davenport Memorial Hospital Inc,M,Cellulitis & other skin infections,3497.588896,Steuben
1291,0 to 17,Ira Davenport Memorial Hospital Inc,M,Cesarean delivery,3742.261912,Steuben
1292,0 to 17,Ira Davenport Memorial Hospital Inc,M,Chronic obstructive pulmonary disease,4404.927226,Steuben
1293,0 to 17,Ira Davenport Memorial Hospital Inc,M,Heart failure,4500.534392,Steuben
1294,0 to 17,Ira Davenport Memorial Hospital Inc,M,Knee joint replacement,16405.74391,Steuben
1295,0 to 17,Ira Davenport Memorial Hospital Inc,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",198.0121662,Steuben
1296,0 to 17,Ira Davenport Memorial Hospital Inc,M,Other pneumonia,4289.098364,Steuben
1297,0 to 17,Ira Davenport Memorial Hospital Inc,M,Schizophrenia,-278.3382083,Steuben
1298,0 to 17,Ira Davenport Memorial Hospital Inc,M,Septicemia & disseminated infections,4845.71943,Steuben
1299,0 to 17,Ira Davenport Memorial Hospital Inc,M,Vaginal delivery,3241.779666,Steuben
1300,0 to 17,Jacobi Medical Center,F,Cellulitis & other skin infections,4908.974314,Bronx
1301,0 to 17,Jacobi Medical Center,F,Cesarean delivery,5153.64733,Bronx
1302,0 to 17,Jacobi Medical Center,F,Chronic obstructive pulmonary disease,5816.312644,Bronx
1303,0 to 17,Jacobi Medical Center,F,Heart failure,5911.91981,Bronx
1304,0 to 17,Jacobi Medical Center,F,Knee joint replacement,17817.12933,Bronx
1305,0 to 17,Jacobi Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1609.397584,Bronx
1306,0 to 17,Jacobi Medical Center,F,Other pneumonia,5700.483782,Bronx
1307,0 to 17,Jacobi Medical Center,F,Schizophrenia,1133.047209,Bronx
1308,0 to 17,Jacobi Medical Center,F,Septicemia & disseminated infections,6257.104847,Bronx
1309,0 to 17,Jacobi Medical Center,F,Vaginal delivery,4653.165084,Bronx
1310,0 to 17,Jacobi Medical Center,M,Cellulitis & other skin infections,5139.283857,Bronx
1311,0 to 17,Jacobi Medical Center,M,Cesarean delivery,5383.956873,Bronx
1312,0 to 17,Jacobi Medical Center,M,Chronic obstructive pulmonary disease,6046.622187,Bronx
1313,0 to 17,Jacobi Medical Center,M,Heart failure,6142.229353,Bronx
1314,0 to 17,Jacobi Medical Center,M,Knee joint replacement,18047.43887,Bronx
1315,0 to 17,Jacobi Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1839.707127,Bronx
1316,0 to 17,Jacobi Medical Center,M,Other pneumonia,5930.793325,Bronx
1317,0 to 17,Jacobi Medical Center,M,Schizophrenia,1363.356752,Bronx
1318,0 to 17,Jacobi Medical Center,M,Septicemia & disseminated infections,6487.41439,Bronx
1319,0 to 17,Jacobi Medical Center,M,Vaginal delivery,4883.474627,Bronx
1320,0 to 17,Jamaica Hospital Medical Center,F,Cellulitis & other skin infections,5532.641002,Queens
1321,0 to 17,Jamaica Hospital Medical Center,F,Cesarean delivery,5777.314018,Queens
1322,0 to 17,Jamaica Hospital Medical Center,F,Chronic obstructive pulmonary disease,6439.979332,Queens
1323,0 to 17,Jamaica Hospital Medical Center,F,Heart failure,6535.586498,Queens
1324,0 to 17,Jamaica Hospital Medical Center,F,Knee joint replacement,18440.79602,Queens
1325,0 to 17,Jamaica Hospital Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2233.064272,Queens
1326,0 to 17,Jamaica Hospital Medical Center,F,Other pneumonia,6324.15047,Queens
1327,0 to 17,Jamaica Hospital Medical Center,F,Schizophrenia,1756.713898,Queens
1328,0 to 17,Jamaica Hospital Medical Center,F,Septicemia & disseminated infections,6880.771536,Queens
1329,0 to 17,Jamaica Hospital Medical Center,F,Vaginal delivery,5276.831772,Queens
1330,0 to 17,Jamaica Hospital Medical Center,M,Cellulitis & other skin infections,5762.950545,Queens
1331,0 to 17,Jamaica Hospital Medical Center,M,Cesarean delivery,6007.623561,Queens
1332,0 to 17,Jamaica Hospital Medical Center,M,Chronic obstructive pulmonary disease,6670.288875,Queens
1333,0 to 17,Jamaica Hospital Medical Center,M,Heart failure,6765.896041,Queens
1334,0 to 17,Jamaica Hospital Medical Center,M,Knee joint replacement,18671.10556,Queens
1335,0 to 17,Jamaica Hospital Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2463.373815,Queens
1336,0 to 17,Jamaica Hospital Medical Center,M,Other pneumonia,6554.460013,Queens
1337,0 to 17,Jamaica Hospital Medical Center,M,Schizophrenia,1987.023441,Queens
1338,0 to 17,Jamaica Hospital Medical Center,M,Septicemia & disseminated infections,7111.081079,Queens
1339,0 to 17,Jamaica Hospital Medical Center,M,Vaginal delivery,5507.141315,Queens
1340,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Cellulitis & other skin infections,8688.107024,Suffolk
1341,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Cesarean delivery,8932.78004,Suffolk
1342,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Chronic obstructive pulmonary disease,9595.445354,Suffolk
1343,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Heart failure,9691.05252,Suffolk
1344,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Knee joint replacement,21596.26204,Suffolk
1345,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",5388.530294,Suffolk
1346,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Other pneumonia,9479.616492,Suffolk
1347,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Schizophrenia,4912.17992,Suffolk
1348,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Septicemia & disseminated infections,10036.23756,Suffolk
1349,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,F,Vaginal delivery,8432.297794,Suffolk
1350,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Cellulitis & other skin infections,8918.416567,Suffolk
1351,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Cesarean delivery,9163.089583,Suffolk
1352,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Chronic obstructive pulmonary disease,9825.754897,Suffolk
1353,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Heart failure,9921.362063,Suffolk
1354,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Knee joint replacement,21826.57158,Suffolk
1355,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",5618.839837,Suffolk
1356,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Other pneumonia,9709.926035,Suffolk
1357,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Schizophrenia,5142.489463,Suffolk
1358,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Septicemia & disseminated infections,10266.5471,Suffolk
1359,0 to 17,John T Mather Memorial Hospital of Port Jefferson New York Inc,M,Vaginal delivery,8662.607337,Suffolk
1360,0 to 17,Kenmore Mercy Hospital,F,Cellulitis & other skin infections,-43.4633894,Erie
1361,0 to 17,Kenmore Mercy Hospital,F,Cesarean delivery,201.2096266,Erie
1362,0 to 17,Kenmore Mercy Hospital,F,Chronic obstructive pulmonary disease,863.8749406,Erie
1363,0 to 17,Kenmore Mercy Hospital,F,Heart failure,959.4821066,Erie
1364,0 to 17,Kenmore Mercy Hospital,F,Knee joint replacement,12864.69163,Erie
1365,0 to 17,Kenmore Mercy Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-3343.040119,Erie
1366,0 to 17,Kenmore Mercy Hospital,F,Other pneumonia,748.0460786,Erie
1367,0 to 17,Kenmore Mercy Hospital,F,Schizophrenia,-3819.390494,Erie
1368,0 to 17,Kenmore Mercy Hospital,F,Septicemia & disseminated infections,1304.667144,Erie
1369,0 to 17,Kenmore Mercy Hospital,F,Vaginal delivery,-299.2726193,Erie
1370,0 to 17,Kenmore Mercy Hospital,M,Cellulitis & other skin infections,186.8461536,Erie
1371,0 to 17,Kenmore Mercy Hospital,M,Cesarean delivery,431.5191696,Erie
1372,0 to 17,Kenmore Mercy Hospital,M,Chronic obstructive pulmonary disease,1094.184484,Erie
1373,0 to 17,Kenmore Mercy Hospital,M,Heart failure,1189.79165,Erie
1374,0 to 17,Kenmore Mercy Hospital,M,Knee joint replacement,13095.00117,Erie
1375,0 to 17,Kenmore Mercy Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-3112.730576,Erie
1376,0 to 17,Kenmore Mercy Hospital,M,Other pneumonia,978.3556216,Erie
1377,0 to 17,Kenmore Mercy Hospital,M,Schizophrenia,-3589.080951,Erie
1378,0 to 17,Kenmore Mercy Hospital,M,Septicemia & disseminated infections,1534.976687,Erie
1379,0 to 17,Kenmore Mercy Hospital,M,Vaginal delivery,-68.96307629,Erie
1380,0 to 17,Kings County Hospital Center,F,Cellulitis & other skin infections,4897.990266,Kings
1381,0 to 17,Kings County Hospital Center,F,Cesarean delivery,5142.663282,Kings
1382,0 to 17,Kings County Hospital Center,F,Chronic obstructive pulmonary disease,5805.328596,Kings
1383,0 to 17,Kings County Hospital Center,F,Heart failure,5900.935762,Kings
1384,0 to 17,Kings County Hospital Center,F,Knee joint replacement,17806.14528,Kings
1385,0 to 17,Kings County Hospital Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1598.413536,Kings
1386,0 to 17,Kings County Hospital Center,F,Other pneumonia,5689.499734,Kings
1387,0 to 17,Kings County Hospital Center,F,Schizophrenia,1122.063161,Kings
1388,0 to 17,Kings County Hospital Center,F,Septicemia & disseminated infections,6246.1208,Kings
1389,0 to 17,Kings County Hospital Center,F,Vaginal delivery,4642.181036,Kings
1390,0 to 17,Kings County Hospital Center,M,Cellulitis & other skin infections,5128.299809,Kings
1391,0 to 17,Kings County Hospital Center,M,Cesarean delivery,5372.972825,Kings
1392,0 to 17,Kings County Hospital Center,M,Chronic obstructive pulmonary disease,6035.638139,Kings
1393,0 to 17,Kings County Hospital Center,M,Heart failure,6131.245305,Kings
1394,0 to 17,Kings County Hospital Center,M,Knee joint replacement,18036.45482,Kings
1395,0 to 17,Kings County Hospital Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1828.723079,Kings
1396,0 to 17,Kings County Hospital Center,M,Other pneumonia,5919.809277,Kings
1397,0 to 17,Kings County Hospital Center,M,Schizophrenia,1352.372704,Kings
1398,0 to 17,Kings County Hospital Center,M,Septicemia & disseminated infections,6476.430343,Kings
1399,0 to 17,Kings County Hospital Center,M,Vaginal delivery,4872.490579,Kings
1400,0 to 17,Kingsbrook Jewish Medical Center,F,Cellulitis & other skin infections,7367.981272,Kings
1401,0 to 17,Kingsbrook Jewish Medical Center,F,Cesarean delivery,7612.654288,Kings
1402,0 to 17,Kingsbrook Jewish Medical Center,F,Chronic obstructive pulmonary disease,8275.319602,Kings
1403,0 to 17,Kingsbrook Jewish Medical Center,F,Heart failure,8370.926768,Kings
1404,0 to 17,Kingsbrook Jewish Medical Center,F,Knee joint replacement,20276.13629,Kings
1405,0 to 17,Kingsbrook Jewish Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",4068.404543,Kings
1406,0 to 17,Kingsbrook Jewish Medical Center,F,Other pneumonia,8159.49074,Kings
1407,0 to 17,Kingsbrook Jewish Medical Center,F,Schizophrenia,3592.054168,Kings
1408,0 to 17,Kingsbrook Jewish Medical Center,F,Septicemia & disseminated infections,8716.111806,Kings
